High-level Pattern,Sub pattern,Description,Example,Optimized Metrics,Detection
Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,"Replace computationally inefficient algorithms with functionally equivalent, more efficient algorithms.","Narrative:
Performance profiling revealed a nested loop in the sorting function led to a high number of operations as input size increased. Further analysis showed that the algorithm used was bubble sort, which has a computational complexity of O(n^2). To reduce execution count and improve performance, the algorithm was replaced with quick sort, which has a better computational complexity of O(n log n). This change led to faster sorting, especially for larger arrays.

Code Before Optimization:
void swap(int* xp, int* yp){
    int temp = *xp;
    *xp = *yp;
    *yp = temp;
}

// An optimized version of Bubble Sort
void bubbleSort(int arr[], int n){
    int i, j;
    bool swapped;
    for (i = 0; i < n - 1; i++) {
        swapped = false;
        for (j = 0; j < n - i - 1; j++) {
            if (arr[j] > arr[j + 1]) {
                swap(&arr[j], &arr[j + 1]);
                swapped = true;
            }
        }

        // If no two elements were swapped by inner loop,
        // then break
        if (swapped == false)
            break;
    }
}

Code After Optimization:
void swap(int* a, int* b);

// Partition function
int partition(int arr[], int low, int high) {
    
    // Choose the pivot
    int pivot = arr[high];
    
    // Index of smaller element and indicates 
    // the right position of pivot found so far
    int i = low - 1;

    // Traverse arr[low..high] and move all smaller
    // elements to the left side. Elements from low to 
    // i are smaller after every iteration
    for (int j = low; j <= high - 1; j++) {
        if (arr[j] < pivot) {
            i++;
            swap(&arr[i], &arr[j]);
        }
    }
    
    // Move pivot after smaller elements and
    // return its position
    swap(&arr[i + 1], &arr[high]);  
    return i + 1;
}

// The QuickSort function implementation
void quickSort(int arr[], int low, int high) {
    if (low < high) {
        
        // pi is the partition return index of pivot
        int pi = partition(arr, low, high);

        // Recursion calls for smaller elements
        // and greater or equals elements
        quickSort(arr, low, pi - 1);
        quickSort(arr, pi + 1, high);
    }
}

void swap(int* a, int* b) {
    int t = *a;
    *a = *b;
    *b = t;
}",Reduced execution count (number of times operations or function calls are executed) potentially leading to reduced latency,"If profiling data is available, identify code segments with quadratic or exponential execution growth. Look for nested loop structures, these are common sources of such growth."
Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,"When choosing an algorithm, prioritize those that utilize faster instructions. Algorithms relying on high-latency operations like integer division can introduce performance bottlenecks. Favor algorithms that use low-latency arithmetic operations whenever possible.","Narrative:
Performance profiling revealed the frequent use of high latency instructions in the `find_gcf` function, primarily due to frequent modulo operations. The function was redesigned using Euclid's algorithm with subtraction instead of modulo. This changed reduced instruction latency and improved overall latency.

Code Before Optimization:
int find_gcf(int a, int b)
{
    /* assumes both a and b are greater than 0*/
    while (1) {
        a = a % b;
        if (a == 0) return b;
        if (a == 1) return 1;

        b = b % a;
        if (b == 0) return a;
        if (b == 1) return 1;
    }
}

Code After Optimization:
int find_gcf(int a, int b)
{
    /* assumes both a and b are greater than 0 */
    while (1) {
        if (a > b) a = a - b;
        else if (a < b) b = b - a;
        else return a;
    }
}

",Decrease instruction latency (time it takes for an instruction to complete) potentially leading to a reduction in overall latency.,"Examine code for frequent use of high-latency instructions (e.g., division, modulo). See if you can find a different way to solve the problem using simpler instructions."
Algorithm-Level Optimizations,Structure Algorithm to Support instruction level parallelism (ILP),"Identify and remove data dependencies that limit instruction-level parallelism, while preserving the program's correctness.","Narrative:
Performance profiling revealed that a loop doing sum reduction had low instruction-level parallelism (ILP). Static analysis found a dependency between loop iterations--each iteration needed the result from the previous one. This stopped the processor from running multiple iterations at the same time. To improve ILP, the loop was unrolled, and several accumulators where used to eliminate the dependency. This allowed the processor to execute multiple additions at once. As a result, instruction throughput increased and overall performance improved.

Code Before Optimization:
a = 0;
for (int x = 0; x < 1000; x++)
    a += buffer[x]

Code After Optimization:
a = b = c = d = 0;
for (int x = 0; x < 1000; x += 4)
{
    a += buffer[x];
    b += buffer[x+1];
    c += buffer[x+2];
    d += buffer[x+3];
}
a = a + b + c + d;
",Greater instruction level parallelism (ILP) leading to greater throughput,"Inspect loops for loop-carried dependencies, where each iteration is required by the next. These dependencies prevent parallel instruction execution. While modern optimizing compilers may apply transformations such as loop unrolling automatically, manual optimization may still yield performance gains in performance-critical code or cases where the compiler is conservative. If profiling data is present, look for performance bottlenecks where the average cycle per instruction (CPI) exceeds 1.0."
Algorithm-Level Optimizations,Select Space Efficient Algorithm,"Fetching from main memory is very slow and can be treated as a high-latency instruction. If an algorithm execution is bound by system memory, consider algorithms that consume less memory.","Narrative:
During memory profiling, it was observed that a sorting routing incurred a high number of cache and page misses, indicating frequent access to main memory. The implementation used merge sort, which creates temporary arrays during each recursive merge step. This increased the memory footprint and led to inefficient cache utiliation. To improve cache performance, the algorithm was replaced with selection sort, which performs sorting in-place without allocating additional memory. While selection sort has a higher time complexity than merge sort, the trade-off can be worthwhile in memory constrained environments.

Code Before Optimization:
void merge(int arr[], int l, int m, int r)
{
    int i, j, k;
    int n1 = m - l + 1;
    int n2 = r - m;

    // Create temp arrays
    int L[n1], R[n2];

    // Copy data to temp arrays L[] and R[]
    for (i = 0; i < n1; i++)
        L[i] = arr[l + i];
    for (j = 0; j < n2; j++)
        R[j] = arr[m + 1 + j];

    // Merge the temp arrays back into arr[l..r
    i = 0;
    j = 0;
    k = l;
    while (i < n1 && j < n2) {
        if (L[i] <= R[j]) {
            arr[k] = L[i];
            i++;
        }
        else {
            arr[k] = R[j];
            j++;
        }
        k++;
    }

    // Copy the remaining elements of L[],
    // if there are any
    while (i < n1) {
        arr[k] = L[i];
        i++;
        k++;
    }

    // Copy the remaining elements of R[],
    // if there are any
    while (j < n2) {
        arr[k] = R[j];
        j++;
        k++;
    }
}

// l is for left index and r is right index of the
// sub-array of arr to be sorted
void mergeSort(int arr[], int l, int r)
{
    if (l < r) {
        int m = l + (r - l) / 2;

        // Sort first and second halves
        mergeSort(arr, l, m);
        mergeSort(arr, m + 1, r);

        merge(arr, l, m, r);
    }
}

Code After Optimization:
void selectionSort(int arr[], int n) {
    for (int i = 0; i < n - 1; i++) {
      
        // Assume the current position holds
        // the minimum element
        int min_idx = i;
        
        // Iterate through the unsorted portion
        // to find the actual minimum
        for (int j = i + 1; j < n; j++) {
            if (arr[j] < arr[min_idx]) {
              
                // Update min_idx if a smaller element is found
                min_idx = j;
            }
        }
        
        // Move minimum element to its
        // correct position
        int temp = arr[i];
        arr[i] = arr[min_idx];
        arr[min_idx] = temp;
    }
}

","Memory footprint (decrease page misses, decrease cache misses) potentially leading to both reduced latency and greater throughput.","Examine code for frequent memory allocations or use of temporary buffers. If profiling data is present, look for a high number of first or second-level cache misses."
Algorithm-Level Optimizations,Inheritance over Delegation for Energy Efficiency,Inheritance has shown to be more energy-efficient than delegation.,"Narrative:
It was determined that class Employee was a proper subtype of class Person. The code before optimization using delegation was be replaced with inheritance leading to a reduction in runtime.

Code Before Optimization:
// Delegation
public class Person {
    public Person(String name) {
        this.name = name;
    }

    public String getName() {
        return name;
    }

    private String name;
}

public class Employee {
    public Employee(String name) {
        person = new Person(name);
    }

    public String getName() {
        return person.getName();
    }

    private Person person;
}

Code After Optimization:
// Inheritance
public class Person {
    public Person(String name) {
        this.name = name;
    }

    public String getName() {
        return name;
    }

    private String name;
}

public class Employee extends Person {
    public Employee(String name){
        super(name);
    }
}
",Reduction in runtime leading to reducting in energy consumption,"Look for cases where delegation can be replaced by inheritance. Only apply inheritance in cases where the subclass is truely a subtype of the superclass. E.g., does the subclass implement all of the same method calls as the superclass?"
Algorithm-Level Optimizations,Event-Driven Throttling,"Continuous or per-tick updates often trigger expensive operations—UI redraws, logging, rendering, network calls—that provide no additional benefit when the observed value changes slowly.
Event-Driven Throttling consolidates these updates by accumulating elapsed time or events and executing the expensive operation only when a threshold is reached or when a force signal is emitted.
This preserves correctness while significantly reducing redundant work.","Before (every tick triggers a tray update):

tray.setTime()

After (update only when needed):

trayUpdateCounter += elapsedSecs

if (force || trayUpdateCounter >= trayUpdateInterval || tray.runningTime <= 0) {
    tray.setTime()
    trayUpdateCounter = 0
}

The update becomes conditional and rate-limited, preventing unnecessary UI refreshes.
","CPU usage, Latency, Throughput","If the system performs the same expensive operation repeatedly in a tight event loop or timer callback, consider throttling."
Control-Flow and Branching Optimizations,Make Conditional Branches More Predictable,"Improve the predictability of branches that cannot be transformed into straight line code by changing branch order, and by making most likely code be the fall through for the branch.","Narrative:
Profiling revealed a relatively high branch misprediction rate (>=0.05) in a condition that evaluated multiple boolean expressions joined by AND. The compiler generated separate branch instructions for each comparison and the combined likelihood of each expression evaluating to true likely made the condition difficult for the branch predictor ro learn. To improve predicability, the condition was rewritten to use bitwise OR. This transformation reduced the number of branches from three to one, making the control flow more predictable and improving the branch prediction rate.

Code Before Optimization:
if (t1 == 0 && t2 == 0 && t3 == 0) {}

Code After Optimization:
if ((t1 | t2 | t3) == 0) {}","Greater branch prediction rate, potentially leading to lower latency","If profiling data is available, consider optimization when branch misprediction rate is high (>=0.05).

Equation: branch misprediction rate = mispredicted branches retired / branches retired."
Control-Flow and Branching Optimizations,Remove branches with functional logic,"In cases where values need to be clamped to a fixed range, replace conditional branches with min/max operations. These operations are typically compiled into a single, branchless instruction that improves predictability and reduces latency.","Narrative:
Profiling data revealed a relatively high branch misprediction rate (>=0.5) in the code before optimization. The code before optimization is a special case where values need to be clamped. To improve predictability, the condition was replaced with a min operation. This operation is compiled into a single branchless instruction that improves predictability and reduces latency.

Code Before Optimization:
short arr[1000];
int i;
for (i=0; i<1000; i++) {
    if (arr[i] > 255) {
        arr[i] = 255;
    }
}

Code After Optimization:
short arr[1000];
int i;
for (i=0; i<1000; i++) {
    arr[i] = min(arr[i], 255);
}

","Remove branches, potentially leading to lower latency","Examing code for value-clamping patterns (comparison followed by assignment to fixed bount). If profiling data is available, consider optimization when branch misprediction rate is high (>=0.05).

Equation: branch misprediction rate = mispredicted branches retired / branches retired"
Control-Flow and Branching Optimizations,Remove branches by doing extra work,"If conditional branch can be made unconditional without affecting program correctness, remove conditional branch and perform extra work.","Narrative:
While analyzing a routine responsible for alpha blending pixels in a bitmap, profiling revealed a branch misprediction rate greater than 0.05, particularly in a section of code that checks the alpha value before blending. The function conditionally performed alpha blending only when the alpha value was between 0 and 255 (0 < a < 255). Because the alpha distribution varied unpredicably across pixels, the branch was frequently mispredicted, introducing latency through pipeline flushes. To improve predicability, the branch was removed, and the alpha blending function was performed unconditionally for all pixels. Since the blending function is safe to apply even when alpha is equal to 0 or 255, the extra work did not affect correctness. This transformation reduced branch misprediction and improved latency.

Code Before Optimization:
for (i=0; i< BitmapSize; i++)
{
    SrcAlpha = GetAlpha(SrcPixel[i]);
    if (SrcAlpha == 255)
        DstPixel[i] = SrcPixel[i];
    else if (SrcAlpha != 0)
        DstPixel[i] = blend(SrcPixel[i], DstPixel[i], SrcAlpha);
    // else, when SrcAlpha=0, do nothing
}

Code After Optimization:
for (i=0; i<BitmapSize; i+=4)
    Blend4Pixels(SrcPixel+i, DstPixel+i);","Removed branches, potentially leading to lower latency","Examine code for cases where conditional values are unpredictable, especially in tight loops. If profiling data is available, consider optimization when the branch misprediction rate is greater than 0.05."
Control-Flow and Branching Optimizations,Remove branching with masking,Replace conditional branches with bitwise operations (masking) to reduce branch mispredicitons and improve ILP.,"Code Before Optimization:
int foo(x, y)
{
    if (x > 0) {
        y = y + x;
    }
    return y;
}

Code After Optimization:
int foo(x, y)
{
    unsigned hob = (unsigned)x >> (sizeof(int[CHAR_BIT])-1);
    return y + (x & hob - 1);
}","CPU cycles, branch misprediction rate",Branch prediciton counters
